"","Family","Species","Mean_m","Mean_f","Median_m","Median_f","Maximum_m","Maximum_f","BM_g","n","Type","Source"
"218","Heteromyidae","Dipodomys merriami",NA,NA,NA,NA,"1.1265",2.929,42,"156 m 173
f","D","(Allred & Beck 1963)"
"219","Heteromyidae","Dipodomys merriami",NA,NA,0.061,0.05,"0.265",0.158,42,"16 m 16 f","D","(Jones 1989)"
"220","Heteromyidae","Dipodomys microps",NA,NA,NA,NA,"0.411",0.434,NA,"182 m 126
f","D","(Allred & Beck 1963)"
"221","Heteromyidae","Dipodomys spectabilis",NA,NA,NA,NA,"0.86",0.86,145,"159 m 172
f","D","(Waser & Elliott 1991)"
"222","Heteromyidae","Dipodomys stephensi",0.04,0.035,0.03,0.023,"0.323",0.351,NA,"13 m 18f","D","(Price, Kelly & Goldingay 1994)"
"223","Heteromyidae","Perognathus parvus",NA,NA,NA,NA,"0.4",0.4,20.1,"","H","(Broadbooks 1961)"
"224","Heteromyidae","Perognathus longimembris",NA,NA,NA,NA,"0.228",0.235,8,"1 m 1 f","D","(Allred & Beck 1963)"
"225","Muridae","Mus musculus",NA,NA,NA,NA,"1.5",1.5,20.5,"3 m 6 f","D","(Berry 1968)"
"226","Muridae","Mus musculus",NA,NA,NA,NA,"0.112",0.085,20.5,"","D","(Navajas & Navarro et al. in Pocock,
Hauffe & Searle 2005)"
"227","Muridae","Notomys alexis",1.3,1.1,NA,NA,"2.7",1.1,35,"5 m 2 f","D","(Letnic 2002)"
"228","Muridae","Pseudomys hermannsburgensis *",2.1,NA,NA,NA,"3.2",NA,NA,"6 m","D","(Letnic 2002)"
"229","Muridae","Apodemus sylvaticus hirtensis",NA,NA,NA,NA,"0.85",0.85,NA,"","H","(Boyd 1963)"
"230","Muridae","Apodemus sylvaticus",NA,NA,NA,NA,"0.45",0.45,23.4,"26 mf","D","(Dickman & Doncaster 1989)"
"231","Dipodidae","Napaeozapus insignis",NA,NA,0.23,0.23,"0.607",0.607,NA,"25 m 8 f","D","(Bowman, Forbes & Dilworth 2000)"
"232","Cricetidae","Calomys musculinus",0.016,0.013,NA,NA,"",NA,NA,"208 mf","D","(Sommaro et al. 2010)"
"233","Cricetidae","Calomys venustus",0.03,0.02,NA,NA,"",NA,NA,"","D","(Priotto et al. 2004)"
"234","Cricetidae","Reithrodontomys megalotis",NA,NA,NA,NA,"0.3",0.3,NA,"","H","(Fisler 1966)"
"235","Cricetidae","Sigmodon hispidus",NA,NA,NA,NA,"1.5",1.5,185,"","H","(DeBusk & Kennerly Jr 1975)"
"236","Cricetidae","Neotoma cinerea",NA,NA,NA,NA,"2.2",NA,NA,"","D","(Escherich 1981)"
"237","Cricetidae","Arvicola amphibius",0.476,0.175,0.332,0.131,"1.8",0.356,120,"7 m 8 f","P","(Fisher, Lambin & Yletyinen 2009)"
"238","Cricetidae","Arvicola amphibius",NA,NA,NA,NA,"8",8,120,"","D","(Aars et al. Aars et al. 2001)"
"239","Cricetidae","Arvicola amphibius",1.8,1.8,1.03,0.93,"5.2",NA,120,"127 m 72 f","D","(Telfer et al. 2003)"
"240","Cricetidae","Arvicola amphibius",NA,NA,NA,NA,"2.6",2.6,120,"","D","(Stoddart 1970)"
"241","Cricetidae","Myodes gapperi",NA,NA,NA,NA,"0.6",0.6,NA,"","A","(Bovet 1980)"
"242","Cricetidae","Myodes gapperi",NA,NA,0.22,0.22,"0.49",0.49,NA,"5 m 18 f","D","(Bowman, Forbes & Dilworth 2000)"
"243","Cricetidae","Myodes rufocanus",0.065,0.035,NA,NA,"",NA,NA,"113 m 82 f","D","(Saitoh 1995)"
"244","Cricetidae","Myodes rufocanus",NA,NA,NA,NA,"3",3,NA,"","D","(Oksanen et al. 1999)"
"245","Cricetidae","Myodes glareolus",NA,NA,NA,NA,"0.45",0.45,20.8,"11 mf","D","(Dickman & Doncaster 1989)"
"246","Cricetidae","Onychomys torridus",NA,NA,NA,NA,"0.329",0.325,22,"4 m 7 f","D","(Allred & Beck 1963)"
"247","Cricetidae","Microtus pinetorum scalopsoides",NA,NA,NA,NA,"0.274",NA,NA,"1 m","D","(Burt 1940)"
"248","Cricetidae","Microtus agrestis",0.058,0.029,NA,NA,"0.159",0.193,46,"39 m 19 f","D","(Sandell et al. 1990)"
"249","Cricetidae","Microtus arvalis",NA,NA,NA,0.049,"",0.537,27.5,"36 f","D","(Boyce & Boyce 1988)"
"250","Cricetidae","Microtus californicus",NA,NA,NA,NA,"0.14",0.14,NA,"9 mf","D","(Lidicker in Lidicker Jr & Patton
1987)"
"251","Cricetidae","Microtus californicus",NA,NA,NA,NA,"0.18",0.18,NA,"","H","(Fisler 1962)"
"252","Cricetidae","Microtus ochrogaster",NA,NA,0.023,0.018,"0.136",0.127,40,"79 m 78 f","D","(McGuire et al. 1993)"
"253","Cricetidae","Microtus oeconomus",NA,NA,0.75,NA,"1",NA,NA,"5 m","D","(Steen 1994)"
"254","Cricetidae","Microtus pennsylvanicus",NA,NA,NA,NA,"1.2",1.2,NA,"","H","(Ostfeld & Manson 1996)"
"255","Cricetidae","Microtus townsendii",0.0194,0.0124,NA,NA,"0.054",0.047,NA,"54 m 210 f","D","(Lambin 1994)"
"256","Cricetidae","Microtus xanthognathus",0.38,0.3,0.3,0.3,"0.8",0.3,NA,"6 m 5 f","D","(Wolff & Lidicker Jr 1980)"
"257","Cricetidae","Peromyscus leucopus",0.228,0.247,0.137,0.137,"0.777",0.777,23,"56 m 19 f","D","(Burt 1940)"
"258","Cricetidae","Peromyscus leucopus",NA,NA,0.085,0.025,"0.183",0.129,23,"35 m 41 f","D","(Jacquot & Vessey 1995)"
"259","Cricetidae","Peromyscus leucopus",0.109,0.088,NA,NA,"",0.282,23,"22 m 9 f","D","(Keane 1990)"
"260","Cricetidae","Peromyscus leucopus",0.087,0.071,0.064,0.067,"0.138",0.121,23,"3 m 4 f","D","(Glass et al. 1991)"
"261","Cricetidae","Peromyscus leucopus",NA,NA,NA,NA,"0.21",0.21,23,"","H","(Stickel 1949)"
"262","Cricetidae","Peromyscus leucopus",NA,NA,NA,NA,"",14.73,23,"","D","(Maier 2002)"
"263","Cricetidae","Peromyscus polionotus
leucocephalus",NA,NA,NA,NA,"0.6",0.6,NA,"","D","(Blair 1951)"
"264","Cricetidae","Peromyscus polionotus
niveiventris",NA,NA,NA,NA,"",4.828,NA,"","D","(Bard 1997)"
"265","Cricetidae","Peromyscus polionotus
niveiventris",NA,NA,NA,NA,"28",NA,NA,"1 m","D","(Oddy et al. 1999)"
"266","Cricetidae","Peromyscus polionotus
ammobates",0.175,0.14,NA,NA,"",NA,NA,"60 mf","D","(Swilling Jr & Wooten 2002)"
"267","Cricetidae","Peromyscus polionotus",NA,NA,NA,NA,"7.765",NA,14,"2 m","D","(Smith 1968)"
"268","Cricetidae","Peromyscus polionotus",NA,NA,NA,NA,"0.194",0.194,14,"","H","(Gentry 1964)"
"269","Cricetidae","Peromyscus gossypinus",NA,NA,NA,NA,"0.64",0.64,NA,"","H","(Griffo Jr 1961)"
"270","Cricetidae","Peromyscus californicus",NA,NA,0.041,0.097,"0.45",0.791,42,"27 m 24 f","D","(Ribble 1992)"
"271","Cricetidae","Peromyscus maniculatus",NA,NA,NA,NA,"3.22",3.22,20.5,"","H","(Murie & Murie 1931)"
"272","Cricetidae","Peromyscus maniculatus",NA,NA,0.37,0.37,"1.768",NA,20.5,"15 m 29 f","D","(Bowman, Forbes & Dilworth 2000)"
"273","Cricetidae","Peromyscus maniculatus",NA,NA,NA,NA,"1.32",NA,20.5,"","D","(Rehmeier, Kaufman & Kaufman
2004)"
"274","Cricetidae","Peromyscus maniculatus",NA,NA,NA,NA,"1.98",NA,20.5,"","H","(Teferi & Millar 1993)"
"275","Cricetidae","Peromyscus maniculatus",NA,NA,0.05,0.15,"0.883",1.005,20.5,"71 m 64 f","D","(Dice, Howard & Biology 1951)"
